AgtId,Agt,PP,PPName,PAX_Hyperlink,PDF_Hyperlink,PAX_Local_Hyperlink,local_search
2368,"Peace agreement between the Dogon & Peulh communities of Dougoutènè I, Dougoutènè II, Koporo Kendié Na, Koporo Pen, Pel Maoudé and Youdiou
",153,Mali Local Processes,https://www.peaceagreements.org/view/2368,https://www.peaceagreements.org/viewmasterdocument/2368,https://www.peaceagreements.org/lview/2368,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2366,"Peace Agreement between the Dogon & Peulh communities of Bondo, Dioungani, and Koro",153,Mali Local Processes,https://www.peaceagreements.org/view/2366,https://www.peaceagreements.org/viewmasterdocument/2366,https://www.peaceagreements.org/lview/2366,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2416,Declaration following the Idnane community meeting in Acharane,153,Mali Local Processes,https://www.peaceagreements.org/view/2416,https://www.peaceagreements.org/viewmasterdocument/2416,https://www.peaceagreements.org/lview/2416,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2415,Agreement between Oualad Ich and Tourmouz community representatives,153,Mali Local Processes,https://www.peaceagreements.org/view/2415,https://www.peaceagreements.org/viewmasterdocument/2415,https://www.peaceagreements.org/lview/2415,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2297,Commitments for the prevention of conflicts between farmers and breeders of Tominian in the Segou region of Mali,153,Mali Local Processes,https://www.peaceagreements.org/view/2297,https://www.peaceagreements.org/viewmasterdocument/2297,https://www.peaceagreements.org/lview/2297,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2293,"Peace agreement between the Fulani, Dogon and Dafing communities of the municipality of Ouenkoro",153,Mali Local Processes,https://www.peaceagreements.org/view/2293,https://www.peaceagreements.org/viewmasterdocument/2293,https://www.peaceagreements.org/lview/2293,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2237,"Humanitarian agreement between Bambara and Bozo farmers, Fulani herders as well as hunters from the area (‘circle’) of Djenné ",153,Mali Local Processes,https://www.peaceagreements.org/view/2237,https://www.peaceagreements.org/viewmasterdocument/2237,https://www.peaceagreements.org/lview/2237,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2247,"Agreement between the Dafing, Samogo, Fulani, Dogon and Bozo communities of the Baye municipality, located in the area (“circle”) of Bankass and the region of Mopti (Baye agreement)",153,Mali Local Processes,https://www.peaceagreements.org/view/2247,https://www.peaceagreements.org/viewmasterdocument/2247,https://www.peaceagreements.org/lview/2247,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2300,"Agreement between the Kel Inacharia and sedentary communities of the circle of Alafia, Bourem Inaly and Lafia",153,Mali Local Processes,https://www.peaceagreements.org/view/2300,https://www.peaceagreements.org/viewmasterdocument/2300,https://www.peaceagreements.org/lview/2300,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
2299,Addendum to the Alafia Doukire and Salam Municipal Peace Charter,153,Mali Local Processes,https://www.peaceagreements.org/view/2299,https://www.peaceagreements.org/viewmasterdocument/2299,https://www.peaceagreements.org/lview/2299,https://www.peaceagreements.org/lsearchadv?LocalSearchForm%5Bname%5D=&LocalSearchForm%5Bdate_after%5D=&LocalSearchForm%5Bdate_before%5D=&LocalSearchForm%5Bactor_mode%5D=any&LocalSearchForm%5Blink_nat_process_status%5D=all&LocalSearchForm%5Bmediator_status%5D=all&LocalSearchForm%5Bmediator_type_mode%5D=any&LocalSearchForm%5Blocale_name%5D=&LocalSearchForm%5Bcategory_mode%5D=any&LocalSearchForm%5Bagreement_text%5D=&LocalSearchForm%5Bpeace_process%5D%5B%5D=153&LocalSearchForm%5Bversion%5D=&s=Search+Database
